À½Àý   ÃâÇöÈ½¼ö   ¹éºÐÀ²   ´©Àû¹éºÐÀ²
±¦        295     0.0009     8.5723
±ª         56     0.0002     8.5724
±«       5767     0.0185     8.5909
±¬          1     0.0000     8.5909
±­         35     0.0001     8.5910
±®          2     0.0000     8.5910
±¯          7     0.0000     8.5911
±±          1     0.0000     8.5911
±²        200     0.0006     8.5917
±³      80246     0.2569     8.8486
±¸     229632     0.7352     9.5838
±¹     212724     0.6810    10.2648
±º      30876     0.0988    10.3636
±»       1748     0.0056    10.3692
±¼       5946     0.0190    10.3883
±½        500     0.0016    10.3899
±¾        470     0.0015    10.3914
±À         20     0.0001    10.3914
±Á        881     0.0028    10.3942
±Â        342     0.0011    10.3953
±Ã       4819     0.0154    10.4108
±Ä        167     0.0005    10.4113
±Å         33     0.0001    10.4114
±Æ          2     0.0000    10.4114
±Ç      42707     0.1367    10.5481
±È        536     0.0017    10.5499
±É          3     0.0000    10.5499
±Ë       1124     0.0036    10.5535
±Í       8848     0.0283    10.5818
±Ï         73     0.0002    10.5820
±Ð         11     0.0000    10.5821
±Ñ         17     0.0001    10.5821
±Ó         73     0.0002    10.5823
±Ô      24777     0.0793    10.6617
±Õ      12808     0.0410    10.7027
±Ö        292     0.0009    10.7036
±×     208329     0.6670    11.3706
±Ø      18914     0.0606    11.4311
±Ù      30461     0.0975    11.5286
±Ú          4     0.0000    11.5286
±Û       9659     0.0309    11.5596
±Ü        206     0.0007    11.5602
±Ý      66513     0.2129    11.7732
±Þ      30243     0.0968    11.8700
±ß        972     0.0031    11.8731
±à       1563     0.0050    11.8781
±á          3     0.0000    11.8781
±â     422263     1.3518    13.2300
±ã         15     0.0000    13.2300
±ä       8531     0.0273    13.2573
±å         16     0.0001    13.2574
±æ      17077     0.0547    13.3120
±è      33988     0.1088    13.4209
±é        103     0.0003    13.4212
±ê        987     0.0032    13.4243
±ë        174     0.0006    13.4249
±ì          1     0.0000    13.4249
±í       3643     0.0117    13.4366
±î      43252     0.1385    13.5750
±ï        180     0.0006    13.5756
±ð        613     0.0020    13.5776
±ñ        198     0.0006    13.5782
±ò       2488     0.0080    13.5862
±ô        378     0.0012    13.5874
±õ        656     0.0021    13.5895
±ö         39     0.0001    13.5896
±÷          1     0.0000    13.5896
±ø        321     0.0010    13.5906
±ù        437     0.0014    13.5920
±ú       5090     0.0163    13.6083
±û          2     0.0000    13.6083
±ü         78     0.0002    13.6086
±ý         33     0.0001    13.6087
²¢         80     0.0003    13.6089
²£         31     0.0001    13.6090
²¤         16     0.0001    13.6091
²¥          1     0.0000    13.6091
²¦          2     0.0000    13.6091
²¨       1839     0.0059    13.6150
²©        118     0.0004    13.6154
²ª        474     0.0015    13.6169
²«          7     0.0000    13.6169
²¬        111     0.0004    13.6173
²­         80     0.0003    13.6175
²®        752     0.0024    13.6199
²¯        731     0.0023    13.6223
²°         19     0.0001    13.6223
²±        206     0.0007    13.6230
²²      11585     0.0371    13.6601
²´          1     0.0000    13.6601
²·          4     0.0000    13.6601
²¸        942     0.0030    13.6631
²¹          4     0.0000    13.6631
²»         26     0.0001    13.6632
²¼        297     0.0010    13.6642
²½          4     0.0000    13.6642
²¾         26     0.0001    13.6643
²¿       1708     0.0055    13.6697
²À       2017     0.0065    13.6762
²Á         43     0.0001    13.6763
²Ã       1303     0.0042    13.6805
²Ä        227     0.0007    13.6812
²Å        958     0.0031    13.6843
²Æ         24     0.0001    13.6844
²Ç        281     0.0009    13.6853
²È        501     0.0016    13.6869
²É       4354     0.0139    13.7008
²Ê         32     0.0001    13.7009
²Ë        121     0.0004    13.7013
²Î         58     0.0002    13.7015
²Ï        327     0.0010    13.7025
²Ð          3     0.0000    13.7025
²Ñ         41     0.0001    13.7027
²Ò        783     0.0025    13.7052
²Ó          3     0.0000    13.7052
²Õ         12     0.0000    13.7052
²×          1     0.0000    13.7052
²Ø          9     0.0000    13.7053
²Ù       5224     0.0167    13.7220
²Ú         68     0.0002    13.7222
²Û       1099     0.0035    13.7257
²Ü        570     0.0018    13.7275
²Ý        145     0.0005    13.7280
²Þ       1639     0.0052    13.7333
²ß         31     0.0001    13.7334
²à         47     0.0002    13.7335
²á         63     0.0002    13.7337
²â         32     0.0001    13.7338
²ã        642     0.0021    13.7359
²ä          5     0.0000    13.7359
²å         43     0.0001    13.7360
²æ        157     0.0005    13.7365
²ç        302     0.0010    13.7375
²é          4     0.0000    13.7375
²í          1     0.0000    13.7375
²î       1383     0.0044    13.7419
²ï        254     0.0008    13.7427
²ð        155     0.0005    13.7432
²ñ         99     0.0003    13.7436
²ó          2     0.0000    13.7436
²ô       2041     0.0065    13.7501
²ö       1334     0.0043    13.7544
²÷       1463     0.0047    13.7590
²ø       3892     0.0125    13.7715
²ú        681     0.0022    13.7737
²û       1390     0.0045    13.7781
²ü          8     0.0000    13.7782
²ý       1441     0.0046    13.7828
²þ         33     0.0001    13.7829
³¡       8626     0.0276    13.8105
³¢       7553     0.0242    13.8347
³£         51     0.0002    13.8348
³¤        780     0.0025    13.8373
³¥        476     0.0015    13.8389
³¦       1612     0.0052    13.8440
³§         18     0.0001    13.8441
³¨          2     0.0000    13.8441
³©          5     0.0000    13.8441
³ª     228153     0.7304    14.5745
³«       3651     0.0117    14.5862
³¬        459     0.0015    14.5877
³­      37262     0.1193    14.7070
³®         47     0.0002    14.7071
³¯      23186     0.0742    14.7814
³°        377     0.0012    14.7826
³²      38751     0.1241    14.9066
³³       3690     0.0118    14.9184
³´        366     0.0012    14.9196
³µ       7131     0.0228    14.9424
³¶       1778     0.0057    14.9481
³·       4917     0.0157    14.9639
³¸        320     0.0010    14.9649
³¹       1175     0.0038    14.9687
³º       1540     0.0049    14.9736
³»      92957     0.2976    15.2712
³¼         13     0.0000    15.2712
³½       4851     0.0155    15.2868
³¾       1950     0.0062    15.2930
³¿        988     0.0032    15.2962
³À        112     0.0004    15.2965
³Á        197     0.0006    15.2971
³Â       2657     0.0085    15.3057
³Ã       4873     0.0156    15.3213
³Ä       7027     0.0225    15.3437
³Å          7     0.0000    15.3438
³Æ          3     0.0000    15.3438
³Ç         43     0.0001    15.3439
³È         13     0.0000    15.3440
³É       1822     0.0058    15.3498
³Ê      16882     0.0540    15.4038
³Ë        432     0.0014    15.4052
³Ì        134     0.0004    15.4057
³Í        227     0.0007    15.4064
³Î       4363     0.0140    15.4203
³Ï          7     0.0000    15.4204
³Ð       3755     0.0120    15.4324
³Ñ       6471     0.0207    15.4531
³Ò         55     0.0002    15.4533
³Ó         25     0.0001    15.4534
³Ô         18     0.0001    15.4534
³Õ         26     0.0001    15.4535
³Ö       3513     0.0112    15.4648
³×      10542     0.0337    15.4985
³Ø        386     0.0012    15.4997
³Ù        159     0.0005    15.5002
³Ú        233     0.0007    15.5010
³Û         29     0.0001    15.5011
³Ü          1     0.0000    15.5011
³Ý        790     0.0025    15.5036
³Þ         16     0.0001    15.5037
³ß          1     0.0000    15.5037
³à       5778     0.0185    15.5222
³á        763     0.0024    15.5246
³â      68272     0.2186    15.7432
³ã          6     0.0000    15.7432
³ä       6953     0.0223    15.7655
³å          3     0.0000    15.7655
³æ        443     0.0014    15.7669
³ç        957     0.0031    15.7700
³è        112     0.0004    15.7703
³é          5     0.0000    15.7703
³ë      33637     0.1077    15.8780
³ì       3192     0.0102    15.8882
³í      12610     0.0404    15.9286
³î       4638     0.0148    15.9435
³ï          1     0.0000    15.9435
³ð       1265     0.0040    15.9475
³ñ         10     0.0000    15.9475
³ò         72     0.0002    15.9478
³ó      17598     0.0563    16.0041
³ô      14200     0.0455    16.0496
³õ      10739     0.0344    16.0839
³ö         78     0.0002    16.0842
³÷          1     0.0000    16.0842
³ù         27     0.0001    16.0843
³ú       3031     0.0097    16.0940
³û          1     0.0000    16.0940
³ü          3     0.0000    16.0940
³ý          1     0.0000    16.0940
´¢        624     0.0020    16.0960
´£          2     0.0000    16.0960
´¥          3     0.0000    16.0960
´¨         36     0.0001    16.0961
´©      12494     0.0400    16.1361
´ª         59     0.0002    16.1363
´«       9470     0.0303    16.1666
´¬          2     0.0000    16.1666
´­       1056     0.0034    16.1700
´®         48     0.0002    16.1702
´¯        102     0.0003    16.1705
´°        209     0.0007    16.1712
´±          4     0.0000    16.1712
´²        279     0.0009    16.1721
´³         20     0.0001    16.1721
´´          6     0.0000    16.1722
´µ        713     0.0023    16.1744
´¶        566     0.0018    16.1763
´·          2     0.0000    16.1763
´¸          2     0.0000    16.1763
´º      20300     0.0650    16.2413
´¼          6     0.0000    16.2413
´½       1850     0.0059    16.2472
´¿        120     0.0004    16.2476
´À      20163     0.0646    16.3121
´Á        274     0.0009    16.3130
´Â     676515     2.1658    18.4788
´Ã      17052     0.0546    18.5334
´Ä        593     0.0019    18.5353
´Å          1     0.0000    18.5353
´Æ        307     0.0010    18.5363
´Ç          1     0.0000    18.5363
´É      35430     0.1134    18.6497
´Ê       1789     0.0057    18.6555
´Ë        189     0.0006    18.6561
´Ì        808     0.0026    18.6587
´Ï      87535     0.2802    18.9389
´Ð        889     0.0028    18.9417
´Ñ       7034     0.0225    18.9643
´Ò       4215     0.0135    18.9778
´Ô       6673     0.0214    18.9991
´Õ        446     0.0014    19.0006
´Ö        140     0.0004    19.0010
´×        845     0.0027    19.0037
´Ø         30     0.0001    19.0038
´Ù     768317     2.4597    21.4635
´Ú       2590     0.0083    21.4718
´Û        498     0.0016    21.4734
´Ü      70500     0.2257    21.6991
´Ý       1278     0.0041    21.7032
´Þ      35702     0.1143    21.8175
´ß       2126     0.0068    21.8243
´à        424     0.0014    21.8257
´á          4     0.0000    21.8257
´â        106     0.0003    21.8260
´ã      18504     0.0592    21.8853
´ä       5508     0.0176    21.9029
´å        982     0.0031    21.9060
´ç      69539     0.2226    22.1287
´è          2     0.0000    22.1287
´é         59     0.0002    22.1289
´ê        737     0.0024    22.1312
´ë     298147     0.9545    23.0857
´ì        200     0.0006    23.0864
´í        373     0.0012    23.0875
´î        186     0.0006    23.0881
´ï        833     0.0027    23.0908
´ð         38     0.0001    23.0909
´ñ        152     0.0005    23.0914
´ò        180     0.0006    23.0920
´ó        195     0.0006    23.0926
´ô         16     0.0001    23.0927
´õ      30047     0.0962    23.1889
´ö       8639     0.0277    23.2165
´÷          3     0.0000    23.2165
´ø      38524     0.1233    23.3399
´ù          1     0.0000    23.3399
´ú       1380     0.0044    23.3443
´ü        241     0.0008    23.3451
´ý       1476     0.0047    23.3498
´þ        148     0.0005    23.3503
µ¡        935     0.0030    23.3532
µ¢       1182     0.0038    23.3570
µ£         41     0.0001    23.3572
µ¤       1051     0.0034    23.3605
µ¥      60466     0.1936    23.5541
µ¦        199     0.0006    23.5547
µ§       1096     0.0035    23.5582
µ¨       7372     0.0236    23.5819
µ©        193     0.0006    23.5825
µª          2     0.0000    23.5825
µ«         49     0.0002    23.5826
µ­         72     0.0002    23.5829
µ®         87     0.0003    23.5831
µ¯          3     0.0000    23.5832
µ°          1     0.0000    23.5832
µ±         24     0.0001    23.5832
µ²          4     0.0000    23.5832
µ³         10     0.0000    23.5833
µ´          3     0.0000    23.5833
µµ     308955     0.9891    24.5724
µ¶      21324     0.0683    24.6407
µ·       7919     0.0254    24.6660
µ¸        873     0.0028    24.6688
µ¹      15265     0.0489    24.7177
µº          4     0.0000    24.7177
µ»          3     0.0000    24.7177
µ¼        161     0.0005    24.7182
µ½        787     0.0025    24.7207
µ¾        158     0.0005    24.7212
µ¿     132904     0.4255    25.1467
µÀ        126     0.0004    25.1471
µÁ          1     0.0000    25.1471
µÂ         14     0.0000    25.1472
µÃ          5     0.0000    25.1472
µÄ          2     0.0000    25.1472
µÅ       8716     0.0279    25.1751
µÆ       8150     0.0261    25.2012
µÇ     112203     0.3592    25.5604
µÈ      66196     0.2119    25.7723
µÉ      19069     0.0610    25.8334
µÊ       2249     0.0072    25.8406
µË        634     0.0020    25.8426
µÌ         22     0.0001    25.8427
µÍ         10     0.0000    25.8427
µÎ      43777     0.1401    25.9829
µÏ        923     0.0030    25.9858
µÐ       3467     0.0111    25.9969
µÑ       6566     0.0210    26.0179
µÒ        260     0.0008    26.0188
µÓ        188     0.0006    26.0194
µÔ         40     0.0001    26.0195
µÕ       2528     0.0081    26.0276
µÖ        245     0.0008    26.0284
µ×         39     0.0001    26.0285
µØ          6     0.0000    26.0285
µÚ       9446     0.0302    26.0588
µÜ          1     0.0000    26.0588
µÞ       2006     0.0064    26.0652
µß         75     0.0002    26.0654
µà        251     0.0008    26.0662
µâ       1057     0.0034    26.0696
µã        324     0.0010    26.0706
µå      34506     0.1105    26.1811
µæ       8075     0.0259    26.2070
µç      19185     0.0614    26.2684
µè       2700     0.0086    26.2770
µé     167937     0.5376    26.8147
µê         53     0.0002    26.8148
µë       1800     0.0058    26.8206
µì       1984     0.0064    26.8269
µí       7341     0.0235    26.8505
µî      86674     0.2775    27.1279
µï          2     0.0000    27.1279
µð      19274     0.0617    27.1896
µñ        107     0.0003    27.1900
µò        684     0.0022    27.1922
µó        139     0.0004    27.1926
µô        439     0.0014    27.1940
µõ         48     0.0002    27.1942
µö         11     0.0000    27.1942
µ÷        106     0.0003    27.1946
µø          1     0.0000    27.1946
µù       1013     0.0032    27.1978
µú        465     0.0015    27.1993
µû      41001     0.1313    27.3306
µü        905     0.0029    27.3334
µý        556     0.0018    27.3352
µþ       2621     0.0084    27.3436
¶¡        593     0.0019    27.3455
¶¢          2     0.0000    27.3455
¶£          4     0.0000    27.3455
¶¤         47     0.0002    27.3457
¶¥       5896     0.0189    27.3646
¶¦         15     0.0000    27.3646
¶§      60500     0.1937    27.5583
¶©        731     0.0023    27.5606
¶ª         41     0.0001    27.5608
¶«         92     0.0003    27.5611
¶­          6     0.0000    27.5611
¶®         12     0.0000    27.5611
¶¯         44     0.0001    27.5613
¶°       6201     0.0199    27.5811
¶±        884     0.0028    27.5839
¶²       7956     0.0255    27.6094
¶³       5032     0.0161    27.6255
¶µ         19     0.0001    27.6256
¶¸        614     0.0020    27.6276
¶¹         83     0.0003    27.6278
¶º         18     0.0001    27.6279
¶»       6430     0.0206    27.6485
¶¼       1012     0.0032    27.6517
¶¾         44     0.0001    27.6518
¶¿         33     0.0001    27.6519
¶À          2     0.0000    27.6520
¶Â         52     0.0002    27.6521
¶Ã          8     0.0000    27.6521
¶Ä          6     0.0000    27.6522
¶Å          1     0.0000    27.6522
¶Ç      36418     0.1166    27.7688
¶È       1521     0.0049    27.7736
¶É          3     0.0000    27.7736
¶Ê         82     0.0003    27.7739
¶Ë        223     0.0007    27.7746
¶Ì          4     0.0000    27.7746
¶Î         21     0.0001    27.7747
¶Ï         11     0.0000    27.7747
¶Ñ       1363     0.0044    27.7791
¶Ò        669     0.0021    27.7812
¶Ô         88     0.0003    27.7815
¶Õ        771     0.0025    27.7840
¶×        555     0.0018    27.7858
¶Ù       3179     0.0102    27.7959
¶Ú        209     0.0007    27.7966
¶Û         72     0.0002    27.7968
¶Ü         94     0.0003    27.7971
¶Ý          1     0.0000    27.7971
¶ß       2708     0.0087    27.8058
¶à        369     0.0012    27.8070
¶á        367     0.0012    27.8082
¶â        564     0.0018    27.8100
¶ã        338     0.0011    27.8111
¶ä        502     0.0016    27.8127
¶å          7     0.0000    27.8127
¶æ       7405     0.0237    27.8364
¶ç        690     0.0022    27.8386
¶è         53     0.0002    27.8388
¶é         10     0.0000    27.8388
¶ê         22     0.0001    27.8389
¶ë          5     0.0000    27.8389
¶ì       1272     0.0041    27.8430
¶í        454     0.0015    27.8444
¶î         61     0.0002    27.8446
¶ï          2     0.0000    27.8446
¶ò          3     0.0000    27.8446
¶ó     177564     0.5685    28.4131
¶ô       9450     0.0303    28.4433
¶õ      23243     0.0744    28.5178
¶ö       1825     0.0058    28.5236
¶÷      38662     0.1238    28.6474
¶ø       1684     0.0054    28.6528
¶ù         67     0.0002    28.6530
¶ú       2127     0.0068    28.6598
¶û      11742     0.0376    28.6974
¶ü          1     0.0000    28.6974
¶ý          1     0.0000    28.6974
¶þ        175     0.0006    28.6979
·¡      34423     0.1102    28.8081
·¢        616     0.0020    28.8101
·£       3505     0.0112    28.8213
·¤         41     0.0001    28.8215
·¥       4741     0.0152    28.8366
·¦        213     0.0007    28.8373
·§       1094     0.0035    28.8408
·¨        502     0.0016    28.8424
·©        626     0.0020    28.8444
·ª        465     0.0015    28.8459
·«       5478     0.0175    28.8635
·¬          1     0.0000    28.8635
·­          2     0.0000    28.8635
·®      24384     0.0781    28.9415
·¯      81439     0.2607    29.2023
·°       1415     0.0045    29.2068
·±      19761     0.0633    29.2701
·²       1968     0.0063    29.2764
·³      15657     0.0501    29.3265
·´       8295     0.0266    29.3530
·µ        204     0.0007    29.3537
·¶       2233     0.0071    29.3608
··        945     0.0030    29.3639
·¸      13870     0.0444    29.4083
·¹      23919     0.0766    29.4848
·º        899     0.0029    29.4877
·»       2492     0.0080    29.4957
·¼        141     0.0005    29.4962
·½        364     0.0012    29.4973
·¾         76     0.0002    29.4976
·¿        319     0.0010    29.4986
·À         51     0.0002    29.4987
·Á      57929     0.1855    29.6842
·Â      60342     0.1932    29.8774
·Ã      27574     0.0883    29.9657
·Ä       3590     0.0115    29.9772
·Å       1424     0.0046    29.9817
·Æ       3519     0.0113    29.9930
·Ç       1097     0.0035    29.9965
·È       5729     0.0183    30.0148
·É      23295     0.0746    30.0894
·Ê       8209     0.0263    30.1157
·Ë          3     0.0000    30.1157
·Ì          1     0.0000    30.1157
·Î     425251     1.3614    31.4771
·Ï      27838     0.0891    31.5662
·Ð      29074     0.0931    31.6593
·Ñ       1200     0.0038    31.6632
·Ò        769     0.0025    31.6656
·Ó       2508     0.0080    31.6737
·Ô       5507     0.0176    31.6913
·Õ        917     0.0029    31.6942
·Ö         11     0.0000    31.6943
·×          6     0.0000    31.6943
·Ú       3223     0.0103    31.7046
·Û          7     0.0000    31.7046
·Ü          1     0.0000    31.7046
·Ý          2     0.0000    31.7046
·á      29995     0.0960    31.8007
·â          1     0.0000    31.8007
·ã          2     0.0000    31.8007
·æ       1508     0.0048    31.8055
·ç      24605     0.0788    31.8843
·è       1873     0.0060    31.8903
·é        978     0.0031    31.8934
·ê        930     0.0030    31.8964
·ë        264     0.0008    31.8972
·ì       2970     0.0095    31.9067
·í        239     0.0008    31.9075
·î         62     0.0002    31.9077
·ï        922     0.0030    31.9106
·ð         57     0.0002    31.9108
·ò        276     0.0009    31.9117
·ó          2     0.0000    31.9117
·ô          2     0.0000    31.9117
·õ          1     0.0000    31.9117
·ù      25205     0.0807    31.9924
·ú       2436     0.0078    32.0002
·û        752     0.0024    32.0026
·ü       6437     0.0206    32.0232
·ý       1033     0.0033    32.0265
¸¢        933     0.0030    32.0295
¸£      41865     0.1340    32.1635
¸¤        248     0.0008    32.1643
¸¥      29949     0.0959    32.2602
¸¦     300365     0.9616    33.2218
¸§      19622     0.0628    33.2846
¸¨        490     0.0016    33.2862
¸©       1813     0.0058    33.2920
¸ª        966     0.0031    33.2951
¸­        484     0.0015    33.2967
¸®     255872     0.8192    34.1158
¸¯       1054     0.0034    34.1192
¸°      21231     0.0680    34.1872
¸±       5480     0.0175    34.2047
¸²      15049     0.0482    34.2529
¸³      21200     0.0679    34.3207
¸´        680     0.0022    34.3229
¸µ       4072     0.0130    34.3360
¸¶      68079     0.2180    34.5539
¸·      16415     0.0526    34.6065
¸¸     118495     0.3794    34.9858
¸¹      24098     0.0771    35.0630
¸º        108     0.0003    35.0633
¸»      52668     0.1686    35.2319
¸¼        652     0.0021    35.2340
¸¾        185     0.0006    35.2346
¸¿        244     0.0008    35.2354
¸À       1961     0.0063    35.2417
¸Á      21498     0.0688    35.3105
¸Â      10712     0.0343    35.3448
¸Ã       2954     0.0095    35.3542
¸Ä         73     0.0002    35.3545
¸Å      31206     0.0999    35.4544
¸Æ       3741     0.0120    35.4664
¸Ç       1387     0.0044    35.4708
¸È         44     0.0001    35.4709
¸É        135     0.0004    35.4714
¸Ê        166     0.0005    35.4719
¸Ë        110     0.0004    35.4723
¸Ì         26     0.0001    35.4723
¸Í       2845     0.0091    35.4814
¸Î       1438     0.0046    35.4860
¸Ï         13     0.0000    35.4861
¸Ñ          1     0.0000    35.4861
¸Ò          3     0.0000    35.4861
¸Ó      12389     0.0397    35.5258
¸Ô       8757     0.0280    35.5538
¸Õ       4627     0.0148    35.5686
¸Ö       3618     0.0116    35.5802
¸Ø        557     0.0018    35.5820
¸Ù          5     0.0000    35.5820
¸Ú        713     0.0023    35.5843
¸Û       1371     0.0044    35.5887
¸Ü        140     0.0004    35.5891
¸Ý          7     0.0000    35.5891
¸Þ      10594     0.0339    35.6231
¸ß        422     0.0014    35.6244
¸à       1444     0.0046    35.6290
¸á        459     0.0015    35.6305
¸â         94     0.0003    35.6308
¸ã         34     0.0001    35.6309
¸ä        111     0.0004    35.6313
¸å          1     0.0000    35.6313
¸æ         78     0.0002    35.6315
¸ç      70546     0.2258    35.8574
¸è        110     0.0004    35.8577
¸é     112714     0.3608    36.2186
¸ê       2229     0.0071    36.2257
¸ë          1     0.0000    36.2257
¸ì         22     0.0001    36.2258
¸í      71530     0.2290    36.4548
¸î       7328     0.0235    36.4782
¸ï          1     0.0000    36.4782
¸ð      81838     0.2620    36.7402
¸ñ      30168     0.0966    36.8368
¸ò        903     0.0029    36.8397
¸ó       1202     0.0038    36.8436
¸ô       5936     0.0190    36.8626
¸ö       5827     0.0187    36.8812
¸÷        424     0.0014    36.8826
¸ø      22778     0.0729    36.9555
¸ù       1905     0.0061    36.9616
¸ú          2     0.0000    36.9616
¸þ         44     0.0001    36.9617
¹¢          9     0.0000    36.9618
¹¤          7     0.0000    36.9618
¹¦       3078     0.0099    36.9716
¹§          1     0.0000    36.9716
¹«      91601     0.2933    37.2649
¹¬       2068     0.0066    37.2715
¹­        961     0.0031    37.2746
¹®     110569     0.3540    37.6286
¹¯       2288     0.0073    37.6359
¹°      87321     0.2796    37.9155
¹±        145     0.0005    37.9159
¹³        218     0.0007    37.9166
¹´          1     0.0000    37.9166
¹µ        676     0.0022    37.9188
¹¶        431     0.0014    37.9202
¹·         17     0.0001    37.9202
¹¸         25     0.0001    37.9203
¹¹        809     0.0026    37.9229
¹º        370     0.0012    37.9241
¹»        156     0.0005    37.9246
¹¼         12     0.0000    37.9246
¹½        644     0.0021    37.9267
¹¿         28     0.0001    37.9268
¹À         82     0.0003    37.9270
¹Á          7     0.0000    37.9270
¹Â        428     0.0014    37.9284
¹Ã          3     0.0000    37.9284
¹Ä       1404     0.0045    37.9329
¹Å        181     0.0006    37.9335
¹Ç       7286     0.0233    37.9568
¹È         14     0.0000    37.9569
¹É         55     0.0002    37.9570
¹Ê         82     0.0003    37.9573
¹Ë         16     0.0001    37.9574
¹Ì      82301     0.2635    38.2208
¹Í       1377     0.0044    38.2253
¹Î      71043     0.2274    38.4527
¹Ï       3737     0.0120    38.4647
¹Ð      12694     0.0406    38.5053
¹Ò         69     0.0002    38.5055
¹Ó        119     0.0004    38.5059
¹Ô        132     0.0004    38.5063
¹Õ          1     0.0000    38.5063
¹Ö        798     0.0026    38.5089
¹×      47192     0.1511    38.6600
¹Ø       2496     0.0080    38.6680
¹Ù      50049     0.1602    38.8282
¹Ú      33302     0.1066    38.9348
¹Û       9175     0.0294    38.9642
¹Ý      60054     0.1923    39.1564
¹Þ      23396     0.0749    39.2313
¹ß     100101     0.3205    39.5518
¹à      10820     0.0346    39.5864
¹â        880     0.0028    39.5893
¹ã       3000     0.0096    39.5989
¹ä       1683     0.0054    39.6042
¹å         84     0.0003    39.6045
¹æ      92209     0.2952    39.8997
¹ç       1367     0.0044    39.9041
¹è      33251     0.1065    40.0105
¹é      42953     0.1375    40.1481
¹ê        366     0.0012    40.1492
¹ë        369     0.0012    40.1504
¹ì        339     0.0011    40.1515
¹í          5     0.0000    40.1515
¹î        348     0.0011    40.1526
¹ï          9     0.0000    40.1527
¹ð        265     0.0008    40.1535
¹ñ        178     0.0006    40.1541
¹ò         12     0.0000    40.1541
¹ó          1     0.0000    40.1541
¹ô          1     0.0000    40.1541
¹õ          1     0.0000    40.1541
¹ö      18048     0.0578    40.2119
¹÷        371     0.0012    40.2131
¹ø      25687     0.0822    40.2953
¹ù         15     0.0000    40.2954
¹ú      11864     0.0380    40.3334
¹ü      17277     0.0553    40.3887
¹ý      64451     0.2063    40.5950
¹þ       2911     0.0093    40.6043
º¡        296     0.0009    40.6053
º¢         90     0.0003    40.6056
º£      10331     0.0331    40.6386
º¤        618     0.0020    40.6406
º¥       1047     0.0034    40.6440
º¦         20     0.0001    40.6440
º§       2275     0.0073    40.6513
º¨         28     0.0001    40.6514
º©          2     0.0000    40.6514
ºª        100     0.0003    40.6517
º«          1     0.0000    40.6517
º¬         74     0.0002    40.6520
º­       2932     0.0094    40.6613
